Time,Open,High,Low,Close,Volume
01.11.2012 00:00:00,1.29642,1.2965,1.29642,1.29643,18.67
01.11.2012 00:01:00,1.29643,1.29647,1.29641,1.29643,36.43
01.11.2012 00:02:00,1.29647,1.29651,1.29634,1.29641,49.61
01.11.2012 00:03:00,1.29643,1.29649,1.29643,1.29643,21.34
01.11.2012 00:04:00,1.29646,1.29652,1.29641,1.29651,92.99
01.11.2012 00:05:00,1.29651,1.29651,1.29632,1.29632,19.23
01.11.2012 00:06:00,1.29634,1.29645,1.29634,1.29645,43.32
01.11.2012 00:07:00,1.29643,1.29647,1.2964,1.29646,46.26
01.11.2012 00:08:00,1.29646,1.2965,1.29641,1.29649,31.93
01.11.2012 00:09:00,1.29649,1.29654,1.29648,1.29652,29.95
01.11.2012 00:10:00,1.29652,1.29652,1.2965,1.2965,8.42
01.11.2012 00:11:00,1.2965,1.2965,1.2964,1.29641,28.63
01.11.2012 00:12:00,1.29641,1.29641,1.29641,1.29641,0
01.11.2012 00:13:00,1.29641,1.29641,1.29641,1.29641,0
01.11.2012 00:14:00,1.29645,1.29652,1.29645,1.29652,15.75
01.11.2012 00:15:00,1.2965,1.29654,1.29649,1.29652,35.95
01.11.2012 00:16:00,1.29654,1.29659,1.29652,1.29658,123.21
01.11.2012 00:17:00,1.29658,1.29676,1.29658,1.29671,43.41
01.11.2012 00:18:00,1.29672,1.2968,1.2967,1.2968,56.33
01.11.2012 00:19:00,1.29686,1.29686,1.29674,1.29674,28.83
01.11.2012 00:20:00,1.29675,1.29675,1.29671,1.29671,16.38
01.11.2012 00:21:00,1.29671,1.29674,1.29671,1.29674,22.92
01.11.2012 00:22:00,1.29676,1.29682,1.29674,1.2968,69.07
01.11.2012 00:23:00,1.2968,1.2968,1.29652,1.2966,87.09
01.11.2012 00:24:00,1.29659,1.29663,1.29653,1.29659,113.63
01.11.2012 00:25:00,1.29664,1.29671,1.2966,1.29664,72.93
01.11.2012 00:26:00,1.29663,1.29671,1.29659,1.29669,98.67
01.11.2012 00:27:00,1.2967,1.2967,1.29661,1.29662,31.93
01.11.2012 00:28:00,1.29669,1.29672,1.29659,1.29661,94.46
01.11.2012 00:29:00,1.29659,1.29662,1.29659,1.29662,12.77
01.11.2012 00:30:00,1.29661,1.29661,1.29657,1.29657,45.75
01.11.2012 00:31:00,1.29656,1.2966,1.29654,1.2966,44.96
01.11.2012 00:32:00,1.2966,1.2966,1.2965,1.29657,51.35
01.11.2012 00:33:00,1.29658,1.29663,1.29651,1.29663,61.51
01.11.2012 00:34:00,1.29663,1.29663,1.29646,1.2966,92.43
01.11.2012 00:35:00,1.2966,1.2966,1.29652,1.29655,64.27
01.11.2012 00:36:00,1.29653,1.2966,1.29633,1.29651,104.73
01.11.2012 00:37:00,1.2965,1.29651,1.29633,1.2965,68.36
01.11.2012 00:38:00,1.2965,1.29652,1.29648,1.29649,23.74
01.11.2012 00:39:00,1.29649,1.29663,1.2964,1.29662,58.27
01.11.2012 00:40:00,1.29661,1.29672,1.29649,1.29652,98.44
01.11.2012 00:41:00,1.29651,1.29654,1.2965,1.2965,44.24
01.11.2012 00:42:00,1.29651,1.2966,1.29649,1.29652,88.55
01.11.2012 00:43:00,1.29652,1.29654,1.2964,1.2964,45.66
01.11.2012 00:44:00,1.29641,1.29644,1.29621,1.29625,50.41
01.11.2012 00:45:00,1.29628,1.29652,1.29628,1.29644,82.37
01.11.2012 00:46:00,1.29644,1.29644,1.29642,1.29644,8.19
01.11.2012 00:47:00,1.29644,1.29644,1.29625,1.29632,32.01
01.11.2012 00:48:00,1.29632,1.2964,1.29631,1.29631,44.84
01.11.2012 00:49:00,1.29631,1.29635,1.29631,1.29635,29.69
01.11.2012 00:50:00,1.29635,1.29638,1.29623,1.29633,69.99
01.11.2012 00:51:00,1.29631,1.29632,1.29628,1.29631,19.69
01.11.2012 00:52:00,1.29631,1.29631,1.29627,1.2963,16
01.11.2012 00:53:00,1.29629,1.29632,1.29628,1.29631,46.19
01.11.2012 00:54:00,1.29632,1.29652,1.29626,1.29626,108.24
01.11.2012 00:55:00,1.29624,1.29633,1.29581,1.29622,152.07
